Network,Node,Degree,PageRank,Betweenness,Community,Label
Marvel,MAGDALENE/MARISSA DA,119,0.0002864405476351337,9.234407672025647e-05,0,Regular
Marvel,SWORDSMAN III/PHILIP,136,0.0003233031745919905,0.00010337630879142827,0,Regular
Marvel,"MCLAREN, MEGAN",139,0.00032843406782037037,0.00013915292849724315,0,Regular
Marvel,"CHAMPION, IMUS",56,0.0001426722510955143,1.1953297511906999e-05,0,Regular
Marvel,CORRUPTOR/JACKSON DA,68,0.0001833673820187337,0.00010746426677940507,3,Regular
Marvel,BLUE SHIELD/JOSEPH J,79,0.00021062492810149523,0.00016824811089651714,2,Regular
Marvel,"RIVERA, DR. JASON",44,0.00012163515804233273,6.42074901519406e-06,0,Regular
Marvel,"CIR, DYLON",30,0.00010018300750358383,1.1960298849503035e-05,0,Regular
Marvel,"GALEN KOR, ADMIRAL [",37,0.00011330877027799848,1.3095166182057502e-05,0,Regular
Marvel,"RON, TALLA",28,9.205329709890568e-05,8.902955858004839e-06,0,Regular
Marvel,"LOR, KONA",30,0.00010018300750358383,1.1960298849503035e-05,0,Regular
Marvel,MIDGARD SERPENT,55,0.00013731224530723614,0.0,0,Regular
Marvel,N'DELE,55,0.00013731224530723614,0.0,0,Regular
Marvel,MUTAURUS,55,0.00013731224530723614,0.0,0,Regular
Marvel,STINGRAY/DR. WALTER ,284,0.0006508509728475758,0.00041991764086093074,2,Regular
Marvel,"LE FEY, MORGAN",156,0.0003732491906398826,0.00015892934490148387,13,Regular
Marvel,GULLIN,55,0.00013731224530723614,0.0,0,Regular
Marvel,FIREBIRD/BONITA JUAR,211,0.0004806120555283668,0.0005698550410311822,2,Regular
Marvel,MORDRED THE EVIL,76,0.00018682303060209735,4.25937397183051e-05,0,Regular
Marvel,STRIDER,132,0.0003185465341422268,0.00012573952847132812,0,Regular
Marvel,WEREWOLF BY NIGHT/JA,196,0.0005568914279207496,0.001063759388221643,2,Regular
Marvel,SILVERCLAW/LA GARRA ,110,0.0002580845591611591,5.42857465805984e-05,0,Regular
Marvel,"MAGNUM, MOSES",39,0.00010953986814350462,5.800798830981427e-06,5,Regular
Marvel,FLY,48,0.00014432987031983078,1.979467332930207e-05,1,Regular
Marvel,BORA,40,0.00011364334285476779,2.691095576799377e-06,3,Regular
Marvel,"LAVEAU, MARIE",27,0.0001136081537966974,2.3563925688353537e-05,2,Regular
Marvel,BROTHER VOODOO/DANIE,179,0.0004871362202279132,0.0007330114755245881,2,Regular
Marvel,RAHL,15,6.328142081020152e-05,1.3021107116216288e-06,2,Regular
Marvel,"DRUMM, JERICHO",143,0.00038668311174842965,0.0003644912490171029,2,Regular
Marvel,DRAGONUS,10,5.060634573766969e-05,9.532592424871379e-08,2,Regular
Marvel,EXECUTIONER V,9,4.5561150333585715e-05,0.0,2,Regular
Marvel,ARKON,92,0.00023452810767570433,9.03942965201782e-05,0,Regular
Marvel,BARON MORDO/KARL MOR,90,0.0002630065762623686,0.0001905910279143979,2,Regular
Marvel,AZRAEL,1,2.576787343175434e-05,0.0,2,Regular
Marvel,HAROKIN [ASGARDIAN],45,0.00011756866432013869,2.32516932680149e-06,7,Regular
Marvel,"ANDERSON, CHARLES",14,5.701203408784264e-05,4.804066527274994e-08,1,Regular
Marvel,SOPHIE,47,0.0001353836305602253,2.9935712408470887e-06,1,Regular
Marvel,MARTHA,52,0.00014596372315220236,4.602605785532281e-06,1,Regular
Marvel,"CHEKOV, ARTHUR ANTON",90,0.00023701030813791217,1.881098628678007e-05,1,Regular
